,SSK001
Caliber Number,4R34
Case Material,Stainless steel
Clasp,Three-fold clasp with push button release
Crystal,Hardlex with lenses
Diameter,42.5mm
Distance between lugs,22
Jewels,24
Lug-to-lug,46.0mm
LumiBrite,Lumibrite on hands and index(es)
MSRP,CAD 595.00
Movement Type,Automatic with manual winding
Power reserve,Approx. 41 hours
Thickness,13.6mm
Water Resistance,10 bar
Weight,161.0
